Date,Close,High,Low,Open,Volume,ema_5,sma_5,ema_10,sma_10,ema_20,sma_20,return_1d,return_5d,rsi_14
2025-02-24,5983.25,6043.64990234375,5977.830078125,6026.68994140625,4990120000,6049.199853061642,6077.5259765625,6064.4308493390345,6080.423974609375,6056.166451305697,6061.935961914062,-0.00496910650440241,-0.021486154571970673,43.42432257840056
2025-02-25,5955.25,5992.64990234375,5908.490234375,5982.72998046875,5374690000,6017.883235374428,6042.6599609375,6044.579785822846,6069.30498046875,6046.555360705154,6059.08447265625,-0.004679730915472358,-0.028440786465477874,41.02646625034546
2025-02-26,5956.06005859375,6009.81982421875,5932.68994140625,5970.8701171875,4869580000,5997.2755097808695,6005.0419921875,6028.4852899630105,6058.060986328125,6037.936760504069,6053.502465820313,0.00013602428004699796,-0.030612834442442782,41.127750943977155
2025-02-27,5861.56982421875,5993.68994140625,5858.77978515625,5981.8798828125,5057680000,5952.040281260163,5953.851953125,5998.1370234640535,6039.020947265625,6021.139909429277,6044.615454101562,-0.015864553655509872,-0.04183888152312287,33.82924248385291
2025-02-28,5954.5,5959.39990234375,5837.66015625,5856.740234375,6441140000,5952.860187506776,5942.1259765625,5990.203019197862,6022.96396484375,6014.793251388393,6038.781958007812,0.01585414463498891,-0.009750310396601236,44.2985949434076
2025-03-03,5849.72021484375,5986.08984375,5810.91015625,5968.330078125,5613850000,5918.480196619101,5915.42001953125,5964.660691133478,5996.472998046875,5999.072009812713,6029.241479492188,-0.0175967394669998,-0.022317266561860172,37.1596951582162
2025-03-04,5778.14990234375,5865.080078125,5732.58984375,5811.97998046875,6138110000,5871.703431860651,5880.0,5930.749638626256,5961.32998046875,5978.031809101383,6018.420483398438,-0.012234826602200433,-0.029738482457705384,33.221472186205546
2025-03-05,5842.6298828125,5860.58984375,5742.35009765625,5781.35986328125,5285970000,5862.012248844601,5857.31396484375,5914.727864841936,5931.177978515625,5965.136387550061,6008.657983398438,0.011159277893187936,-0.019044498320258896,39.44783600948696
2025-03-06,5738.52001953125,5812.080078125,5711.64013671875,5785.8701171875,5165080000,5820.848172406818,5832.70400390625,5882.690074785447,5893.277978515625,5943.553876310174,5992.509985351562,-0.017819007085749905,-0.020992636508241236,33.94457957604119
2025-03-07,5770.2001953125,5783.009765625,5666.2900390625,5726.009765625,5705140000,5803.965513375379,5795.84404296875,5862.23736942673,5868.985009765625,5927.044001929443,5976.84150390625,0.00552061780274804,-0.03095134850743131,36.83240730425769
2025-03-10,5614.56005859375,5705.3701171875,5564.02001953125,5705.3701171875,6409370000,5740.830361781503,5748.81201171875,5817.20513109346,5832.116015625,5897.283626373663,5956.269995117187,-0.0269730913054258,-0.04020023994537003,29.913354524589195
2025-03-11,5572.06982421875,5636.2998046875,5528.41015625,5603.64990234375,6221240000,5684.576849260586,5707.59599609375,5772.635075298058,5793.797998046875,5866.310883311289,5931.551489257812,-0.007567865323653167,-0.035665408756773376,28.347731990645443
2025-03-12,5599.2998046875,5642.18994140625,5546.08984375,5624.83984375,5219830000,5656.151167736224,5658.92998046875,5741.119571550684,5758.12197265625,5840.88125677569,5908.091479492187,0.004886869929446425,-0.04164735453135815,30.84568417509803
2025-03-13,5521.52001953125,5597.77978515625,5504.64990234375,5594.4501953125,5018980000,5611.274118334566,5615.52998046875,5701.192380274423,5724.1169921875,5810.465900847649,5881.5689697265625,-0.013890984206835322,-0.037814628033261743,27.85816452259141
2025-03-14,5638.93994140625,5645.27001953125,5563.85009765625,5563.85009765625,4863180000,5620.496059358461,5589.2779296875,5689.873755025664,5692.560986328125,5794.130095186563,5857.762475585938,0.021265869083087807,-0.022747954917210822,37.67240048203142
